Fecha,Clics,Impresiones,CTR,Posición
2026-01-04,10,995,1.01%,5.4
2026-01-05,22,1257,1.75%,5.3
2026-01-06,17,1196,1.42%,5
2026-01-07,18,1155,1.56%,5.2
2026-01-08,17,1220,1.39%,5.1
2026-01-09,21,1213,1.73%,5.2
2026-01-10,14,1015,1.38%,5.8
2026-01-11,21,1098,1.91%,5.4
2026-01-12,31,1250,2.48%,5.1
2026-01-13,26,1224,2.12%,5.3
2026-01-14,28,1361,2.06%,5.3
2026-01-15,13,1117,1.16%,6
2026-01-16,18,1177,1.53%,5.9
2026-01-17,21,809,2.6%,5.9
2026-01-18,28,845,3.31%,6
2026-01-19,25,1024,2.44%,5.2
2026-01-20,26,956,2.72%,5.6
2026-01-21,25,919,2.72%,5.6
2026-01-22,23,861,2.67%,5.3
2026-01-23,18,898,2%,5.1
2026-01-24,15,934,1.61%,5.8
2026-01-25,17,910,1.87%,5.9
2026-01-26,19,1063,1.79%,5.7
2026-01-27,15,1099,1.36%,6.1
2026-01-28,26,1223,2.13%,5.3
2026-01-29,58,1334,4.35%,5.2
2026-01-30,17,1074,1.58%,5.2
2026-01-31,13,718,1.81%,5.3
2026-02-01,18,739,2.44%,5
2026-02-02,29,831,3.49%,4.9
2026-02-03,71,770,9.22%,4.6
2026-02-04,34,906,3.75%,5.1
2026-02-05,28,928,3.02%,5.4
2026-02-06,22,1116,1.97%,5.1
2026-02-07,17,1056,1.61%,5.2
2026-02-08,11,1049,1.05%,5.7
2026-02-09,19,1166,1.63%,5.4
2026-02-10,22,1166,1.89%,4.8
2026-02-11,18,1145,1.57%,5.5
2026-02-12,11,1005,1.09%,5.4
2026-02-13,21,1053,1.99%,5.4
2026-02-14,13,840,1.55%,4.5
2026-02-15,16,992,1.61%,5
2026-02-16,40,1072,3.73%,4.4
2026-02-17,23,1200,1.92%,5.1
2026-02-18,20,1079,1.85%,5.2
2026-02-19,18,1091,1.65%,5.2
2026-02-20,28,946,2.96%,4.6
2026-02-21,19,949,2%,5.3
2026-02-22,14,949,1.48%,5.1
2026-02-23,17,1387,1.23%,5.6
2026-02-24,21,1093,1.92%,5
