País,Clics,Impresiones,CTR,Posición
Chile,5351,264507,2.02%,5.78
España,97,5006,1.94%,7.66
Argentina,65,3088,2.1%,7.35
México,60,5277,1.14%,7.79
Colombia,50,2334,2.14%,8.23
Perú,35,1676,2.09%,7.7
Estados Unidos,31,6753,0.46%,8
Venezuela,15,1034,1.45%,6.96
Brasil,15,365,4.11%,7.72
Uruguay,14,369,3.79%,6.5
Paraguay,9,409,2.2%,7.07
Alemania,8,298,2.68%,8.15
Guatemala,7,696,1.01%,7.72
Reino Unido,7,279,2.51%,11.11
Ecuador,5,785,0.64%,7.25
Canadá,5,415,1.2%,7.82
Honduras,5,333,1.5%,7.54
Países Bajos,5,153,3.27%,7.99
República Dominicana,4,498,0.8%,7.36
Bolivia,4,482,0.83%,6.91
Francia,4,155,2.58%,7.23
La India,4,147,2.72%,9.52
Panamá,3,435,0.69%,7.69
Puerto Rico,3,361,0.83%,7.12
Australia,3,152,1.97%,10.03
Portugal,3,69,4.35%,7.16
Turquía,3,57,5.26%,13.96
Nueva Zelanda,3,31,9.68%,6.94
Costa Rica,2,523,0.38%,7.26
El Salvador,2,351,0.57%,7.54
Cuba,2,150,1.33%,6.66
Italia,2,143,1.4%,7.34
Noruega,2,23,8.7%,6.91
Croacia,2,18,11.11%,6.5
Nicaragua,1,266,0.38%,6.97
Indonesia,1,72,1.39%,14.86
Polonia,1,56,1.79%,7.88
Bélgica,1,55,1.82%,7.51
Corea del Sur,1,40,2.5%,8.07
Israel,1,20,5%,7.3
Eslovenia,1,8,12.5%,3.25
Vietnam,0,145,0%,25.32
Suiza,0,92,0%,7.71
Japón,0,75,0%,8.03
Emiratos Árabes Unidos,0,69,0%,3.55
Suecia,0,68,0%,8.91
Filipinas,0,68,0%,22.34
Taiwán,0,63,0%,6.79
Tailandia,0,55,0%,10.25
Rusia,0,55,0%,12.29
China,0,54,0%,9.83
Malasia,0,36,0%,19.58
Irlanda,0,35,0%,7.43
Arabia Saudí,0,30,0%,23.97
Aruba,0,24,0%,6.83
Pakistán,0,24,0%,13.75
Marruecos,0,24,0%,17.79
Dinamarca,0,22,0%,8.55
Ucrania,0,22,0%,9.64
Austria,0,21,0%,6.57
Rumanía,0,21,0%,8.33
Chequia,0,20,0%,6.7
Bangladés,0,20,0%,22.7
Grecia,0,18,0%,7.89
Argelia,0,17,0%,14.53
Andorra,0,16,0%,8.38
Hungría,0,15,0%,8.4
Egipto,0,15,0%,15.53
Curazao,0,14,0%,7
Singapur,0,14,0%,7.36
Hong Kong,0,14,0%,11
Finlandia,0,13,0%,5.85
Sudáfrica,0,13,0%,13.15
Sri Lanka,0,11,0%,8.36
Iraq,0,11,0%,16.36
Bulgaria,0,10,0%,14.4
Belice,0,9,0%,5.78
Eslovaquia,0,9,0%,6
Albania,0,9,0%,6.11
Jordania,0,9,0%,19.11
Omán,0,8,0%,13.5
Qatar,0,7,0%,6
Malta,0,7,0%,8
Bielorrusia,0,7,0%,16.71
Túnez,0,6,0%,7
Guinea Ecuatorial,0,6,0%,7.67
Trinidad y Tobago,0,6,0%,8.17
Uzbekistán,0,6,0%,14.17
Región desconocida,0,6,0%,24.17
Surinam,0,5,0%,6.2
Irán,0,5,0%,8.4
Kuwait,0,5,0%,9.4
Camboya,0,5,0%,14.6
Lituania,0,4,0%,4.75
Jamaica,0,4,0%,5.25
Chipre,0,4,0%,5.5
Gibraltar,0,4,0%,6.75
Camerún,0,4,0%,8.75
Nepal,0,4,0%,9
Palestina,0,4,0%,13.75
Georgia,0,4,0%,26.25
Mozambique,0,3,0%,3.67
Luxemburgo,0,3,0%,4.33
Serbia,0,3,0%,4.67
Barbados,0,3,0%,6.33
República Democrática del Congo,0,3,0%,7
Kenia,0,3,0%,10
Letonia,0,3,0%,10
Nigeria,0,3,0%,11
Uganda,0,3,0%,12
Kazajistán,0,3,0%,13.33
Estonia,0,3,0%,20.33
Senegal,0,2,0%,1
Macedonia del Norte,0,2,0%,1.5
Líbano,0,2,0%,3.5
Islas Åland,0,2,0%,5
Guyana,0,2,0%,6.5
Haití,0,2,0%,6.5
Guinea-Bissau,0,2,0%,7
Costa de Marfil,0,2,0%,7.5
Anguila,0,2,0%,11
Macao,0,2,0%,11
San Martín,0,2,0%,11
Tanzania,0,2,0%,11
Zambia,0,2,0%,15
Azerbaiyán,0,1,0%,1
Burkina Faso,0,1,0%,1
Cabo Verde,0,1,0%,1
Yibuti,0,1,0%,1
Libia,0,1,0%,1
Sudán,0,1,0%,1
Yemen,0,1,0%,1
Botsuana,0,1,0%,2
Laos,0,1,0%,2
Martinica,0,1,0%,2
Islas Vírgenes Británicas,0,1,0%,2
San Martín,0,1,0%,5
Sierra Leona,0,1,0%,6
Antártida,0,1,0%,7
Bosnia y Herzegovina,0,1,0%,7
Guernsey,0,1,0%,8
Siria,0,1,0%,8
Montenegro,0,1,0%,9
Seychelles,0,1,0%,9
Myanmar (Birmania),0,1,0%,10
Mongolia,0,1,0%,10
Gabón,0,1,0%,11
Liechtenstein,0,1,0%,11
San Marino,0,1,0%,11
Somalia,0,1,0%,11
Timor Oriental,0,1,0%,11
Angola,0,1,0%,12
Moldavia,0,1,0%,12
Etiopía,0,1,0%,14
Madagascar,0,1,0%,17
Kiribati,0,1,0%,18
Bahamas,0,1,0%,20
